season,player,team,position,gp,avgtoi,hits,takeaways,blocked,minors,shots_against,goals_against,shots_for,goals_for,magpie_score
2021,Damon Severson,NJD,D,80,23.5975,91,38,92,28,933,106,926,90,12.734957
2021,Hunter Drew,ANA,D,2,9.8583,5,0,0,1,7,0,1,0,29.238754
2021,Brad Marchand,BOS,F,70,19.2512,78,40,20,33,588,64,1030,104,10.819832
2021,Gregory Hofmann,CBJ,F,24,12.5056,23,7,10,4,159,8,141,14,16.18493
2021,Valeri Nichushkin,COL,F,62,19.0261,89,38,27,7,597,54,776,91,16.670638
2021,Josh Morrissey,WPG,D,79,23.6593,150,26,104,27,936,90,1075,106,17.88433
2021,Rudolfs Balcers,SJS,F,61,15.0369,115,35,43,9,483,48,445,37,21.655948
2021,Connor Clifton,BOS,D,60,16.0642,156,16,62,13,439,45,517,35,27.42362
2021,Andrew Copp,NYR,F,72,19.1787,45,34,41,8,713,71,812,81,10.329098
2021,Jasper Weatherby,SJS,F,50,11.2407,52,18,24,9,276,27,237,21,15.52341
2021,Jack Ahcan,BOS,D,6,16.0306,8,1,5,0,38,3,50,1,26.068467
2021,Jordan Spence,LAK,D,24,19.7438,32,3,29,1,202,18,270,20,21.8945
2021,Mattias Samuelsson,BUF,D,42,19.9917,100,8,60,8,499,60,377,37,18.072211
2021,Michael Del Zotto,OTT,D,26,18.2564,42,5,34,2,249,32,224,28,17.00286
2021,Victor Olofsson,BUF,F,72,15.3826,10,18,15,3,539,63,655,68,4.255761
2021,Adam Beckman,MIN,F,3,10.4111,1,1,1,1,18,2,22,2,6.34394
2021,Zach Senyshyn,OTT,F,2,6.525,4,0,0,1,3,1,2,0,16.261682
2021,Sven Baertschi,VGK,F,1,13.9,0,0,0,0,12,1,4,0,0.0
2021,Brandon Montour,FLA,D,81,17.8996,64,26,65,23,737,66,913,87,11.907128
2021,Philippe Myers,NSH,D,27,14.8784,50,8,17,6,205,13,158,15,22.880944
2021,William Eklund,SJS,F,9,14.3278,4,2,4,1,55,4,62,6,11.313885
2021,Laurent Dauphin,MTL,F,38,13.2934,31,17,27,10,300,35,227,20,11.100002
2021,Radim Simek,SJS,D,36,13.2815,96,10,39,4,223,23,197,11,33.112359
2021,Jean-Gabriel Pageau,NYI,F,77,17.6745,171,30,53,12,734,63,684,70,21.797177
2021,Mikael Granlund,NSH,F,80,20.4146,92,57,45,15,877,94,881,115,12.766561
2021,Noah Cates,PHI,F,16,13.2458,21,10,6,2,111,9,108,12,19.091853
2021,Mikhail Sergachev,TBL,D,78,22.4688,139,23,123,25,872,88,820,82,18.773545
2021,Scott Harrington,CBJ,D,7,14.4714,8,2,9,3,58,9,26,2,11.869142
2021,Nicolas Hague,VGK,D,52,18.6506,57,25,80,19,482,56,540,53,16.064478
2021,Trevor Moore,LAK,F,81,15.6874,69,30,32,10,587,52,774,68,13.176629
2021,Viktor Arvidsson,LAK,F,66,16.9813,23,24,45,11,490,52,794,68,10.015759
2021,Joe Pavelski,DAL,F,82,18.474,104,35,69,7,689,72,945,115,17.885443
2021,Thomas Chabot,OTT,D,59,26.1921,73,29,93,13,725,71,905,94,17.460584
2021,Sheldon Rempal,VAN,F,1,9.1833,0,0,0,0,8,1,4,0,0.0
2021,Jesper Bratt,NJD,F,76,17.43,26,29,30,8,576,69,869,94,7.724015
2021,Brady Tkachuk,OTT,F,79,18.7989,270,41,25,41,711,75,940,105,21.843533
2021,David Kampf,TOR,F,82,15.2654,80,30,26,10,666,65,561,54,11.464416
2021,Max Comtois,ANA,F,52,14.1353,111,9,17,19,364,44,364,33,15.436409
2021,Santeri Hatakka,SJS,D,9,12.6296,5,1,7,1,71,9,47,4,8.321757
2021,Brendan Smith,CAR,D,45,13.9181,73,12,40,15,249,24,325,25,21.972107
2021,Keith Yandle,PHI,D,77,13.979,29,11,40,7,576,72,600,40,6.655317
2021,Vinnie Hinostroza,BUF,F,62,13.8718,25,22,13,11,452,46,397,33,6.697613
2021,Josh Manson,COL,D,67,18.9776,179,38,70,29,718,67,585,41,21.444467
2021,Nick Suzuki,MTL,F,82,20.5102,89,50,62,15,883,106,899,90,12.252226
2021,Owen Tippett,PHI,F,63,13.4228,98,36,16,6,412,36,534,46,20.634396
2021,Alex Galchenyuk,ARI,F,60,13.1536,67,18,24,16,483,44,356,34,11.26965
2021,Maxime Lajoie,CAR,D,5,12.54,3,0,5,0,22,1,37,3,29.044586
2021,Calen Addison,MIN,D,15,13.7889,12,0,6,1,108,15,133,12,7.552745
2021,Vladislav Kolyachonok,ARI,D,32,15.8474,39,12,36,4,278,22,216,19,19.980564
2021,Aaron Ekblad,FLA,D,61,24.9213,62,43,69,13,742,72,973,125,15.160266
2021,Noel Acciari,FLA,F,20,11.9833,48,8,16,4,123,13,127,11,26.408203
2021,Dmitri Samorukov,EDM,D,1,2.4667,0,0,0,0,4,2,2,0,0.0
2021,Cole Caufield,MTL,F,67,16.6803,18,32,7,5,551,72,615,65,5.18027
2021,Zdeno Chara,NYI,D,72,18.7317,125,14,90,25,796,53,572,55,19.004973
2021,Tyler Bozak,STL,F,50,12.1643,20,20,21,7,316,35,280,17,8.973546
2021,Givani Smith,DET,F,47,8.417,86,7,21,25,215,19,179,13,16.392623
2021,Brett Connolly,CHI,F,9,8.3963,7,2,3,1,42,4,25,2,11.997354
2021,Egor Sokolov,OTT,F,8,10.3708,13,1,4,2,50,8,51,2,12.144755
2021,Max Jones,ANA,F,2,9.9,2,0,0,1,12,1,6,0,6.226415
2021,Tomas Hertl,SJS,F,82,19.9402,105,65,57,14,860,101,911,105,14.355381
2021,Artem Zub,OTT,D,81,21.0399,155,14,124,29,924,72,766,60,20.218537
2021,Jan Rutta,TBL,D,76,16.3873,93,6,71,21,636,52,608,69,15.204285
2021,Mathieu Perreault,MTL,F,25,11.2547,35,10,11,2,132,14,142,20,20.195851
2021,Tanner Pearson,VAN,F,68,16.0549,84,22,41,11,550,45,659,58,16.286744
2021,Brayden Point,TBL,F,66,19.4619,75,33,27,12,597,76,822,112,11.37557
2021,Jesper Boqvist,NJD,F,56,13.1292,31,18,16,5,404,38,370,30,8.811028
2021,Nathan MacKinnon,COL,F,65,21.061,68,37,39,18,673,65,995,124,12.526667
2021,Julien Gauthier,NYR,F,49,10.3071,98,15,14,4,246,23,267,14,24.967099
2021,Jack Studnicka,BOS,F,15,12.6,17,3,5,2,86,9,101,3,14.024933
2021,Brandon Saad,STL,F,78,16.2714,20,45,20,5,617,54,663,83,8.770177
2021,Logan Shaw,OTT,F,17,9.3784,11,11,5,1,122,13,62,6,9.996826
2021,Mike Hardman,CHI,F,21,9.3008,60,5,12,4,113,11,71,5,28.361479
2021,Jamie Benn,DAL,F,82,16.7472,143,37,60,32,768,73,733,67,15.908944
